title,genres,keywords,overview
Shanghai Surprise,"Crime, Romance, Adventure, Drama, Comedy","china, shanghai, american abroad","Glendon Wasey is a fortune hunter looking for a fast track out of China. Gloria Tatlock is a missionary nurse seeking the curing powers of opium for her patients. Fate sets them on a hectic, exotic, and even romantic quest for stolen drugs. But they are up against every thug and smuggler in Shangai."
Blue Velvet,"Crime, Thriller, Mystery","nightclub, surrealism, psychological abuse, small town, ear, detective, neo-noir, sexual obsession, voyeurism, policeman, criterion, drug dealer, drugs, murder","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child."
The Name of the Rose,"Thriller, Drama, Mystery","rich, master disciple relationship, religion, umberto eco, library, labyrinth, monk, burned at the stake, secret passage, poor, christianity, theological debate, poison, franciscan, inquisition, medieval, 14th century, grotesque, middle ages (476-1453), persecution, murder mystery, based on novel or book","14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable."
Crocodile Dundee,"Adventure, Comedy","australian outback, fish out of water, prostitute, knife, hotel, crocodile, kangaroo, limousine, tourist, wilderness, culture clash, adventurer, subway, journalist, poacher, new york city","When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat."
The Mission,"Adventure, Drama, History, Action","indigenous peoples, religious conversion, colonial brazil, lgbt interest, south america, guaraní, resistance, christianity, argentina, assimilation, portuguese colonialism, waterfall, mission, colonisation, jesuits (society of jesus), jungle, 18th century","When a Spanish Jesuit goes into the South American wilderness to build a mission in the hope of converting the Indians of the region, a slave hunter is converted and joins his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors."
Armed Response,"Thriller, Action","shotgun, chinatown, revenge, car crash, double crossed, los angeles, grenade, bartender, yakuza, murder, california","One of Tanaka's underlings has stolen a rare statuette that he had planned to use as a peace offering between the local Yakusa and Chinese Tong. He hires two private investigators to exchange ransom money to recover the statuette, but the trade goes down bad and Clay Roth is killed. This angers Roth's brothers and father, all combat veterans, and they go after the people responsible"
Tough Guys,"Crime, Comedy","prison, train robbery, ex-con","Harry Doyle and Archie Lang are two old-time train robbers, who held up a train in 1956 and have been incarcerated for thirty years. After serving their time, they are released from jail and have to adjust to a new life of freedom. and soon realize that they still have the pizzazz when, picking up their prison checks at a bank, they foil a robbery attempt."
Peggy Sue Got Married,"Drama, Fantasy, Comedy","high school reunion, time travel","Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school."
From Beyond,"Science Fiction, Horror","parallel world, experiment, transformation","A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms."
Soul Man,Comedy,"secret identity, college, harvard university, scholarship, los angeles, california","A caucasian prospective grad student's affluent family won't pay his way through law school, so he takes tanning pills to darken his skin in order to qualify for an African-American scholarship at Harvard. He soon gets more than he bargained for, as he begins to learn what life is really like for blacks in America."
Sid and Nancy,"Romance, Drama","1970s, drug addiction, co-workers relationship, sid vicious, musical acts, punk band, chelsea hotel, punk rock, toxic relationship, based on true story, sex pistols, music manager, music tour","January 1978. After their success in England, the punk rock band Sex Pistols venture out on their tour of the southern United States. Temperamental bassist Sid Vicious is forced by his band mates to travel without his troubled girlfriend, Nancy Spungen, who will meet him in New York. When the band breaks up and Sid begins his solo career in a hostile city, the turbulent couple definitely falls into the depths of drug addiction."
Hoosiers,"Drama, Family","coach, basketball coach, basketball, high school sports, head coach, coach teacher, parent child relationship, hoosier, high school, sports, coaching, indiana, son, 1950s, usa, high school coach","Failed college coach Norman Dale gets a chance at redemption when he is hired to coach a high school basketball team in a tiny Indiana town. After a teacher persuades star player Jimmy Chitwood to quit and focus on his long-neglected studies, Dale struggles to develop a winning team in the face of community criticism for his temper and his unconventional choice of assistant coach: Shooter, a notorious alcoholic."
The Wraith,"Science Fiction, Action","motorcycle, ghost, gang, arizona, reincarnation, revenge, car race, sheriff, car crash, street race, killing, romance, cemetery, murder","Packard Walsh and his motorized gang control and terrorize an Arizona desert town where they force drivers to drag-race so they can 'win' their vehicles. After Walsh beats the decent teenager Jamie Hankins to death after finding him with his girlfriend, a mysterious power creates Jake Kesey, an extremely cool motor-biker who has a car which is invincible. Jake befriends Jamie's girlfriend Keri Johnson, takes Jamie's sweet brother Bill under his wing and manages what Sheriff Loomis couldn't; eliminate Packard's criminal gang the hard way..."
Star Trek IV: The Voyage Home,"Adventure, Science Fiction","space probe, uss enterprise-a, spacecraft, cloaking device, aircraft carrier, teleportation, outer space, time travel, saving the world, whale, whaling ship, humpback whale, starship, marine biologist, space opera, san francisco, california","It's the 23rd century, and a mysterious alien power is threatening Earth by evaporating the oceans and destroying the atmosphere. In a frantic attempt to save mankind, Kirk and his crew must time travel back to 1986 San Francisco where they find a world of punk, pizza and exact-change buses that are as alien as anything they've ever encountered in the far reaches of the galaxy. A thrilling, action-packed Star Trek adventure!"
The Mosquito Coast,"Adventure, Drama","governance, emigrant, nature, paradise, idealist, exit, idealism, honduras, based on novel or book","Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results."
Solarbabies,Science Fiction,"hockey, post-apocalyptic future, gang violence, drought, dystopia, roller-skating, rebel gangs","In a future in which most water has disappeared from the Earth, we find a group of children, mostly teenagers, who are living at an orphanage, run by the despotic rulers of the new Earth. The group in question plays a hockey based game on roller skates and is quite good. It has given them a unity that transcends the attempts to bring them to heel by the government. Finding an orb of special power, they find it has unusual effects on them. They escape from the orphanage (on skates) and try to cross the wasteland looking for a place they can live free as the storm-troopers search for them and the orb."
Heartbreak Ridge,"Drama, War, Comedy","battle assignment, platoon, marine, recruit, us military, military, patriotism, war veteran, combat","A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude."
The Golden Child,"Adventure, Comedy, Action","dark fantasy, evil, pocket knife, buddhism, tibet, reluctant hero, wretch, monk, mystic, social worker, anti hero, mysticism, demon, ritual, missing person","After a Tibetan boy, the mystical Golden Child, is kidnapped by the evil Sardo Numspa, humankind's fate hangs in the balance. On the other side of the world in Los Angeles, the priestess Kee Nang seeks the Chosen One, who will save the boy from death. When Nang sees social worker Chandler Jarrell on television discussing his ability to find missing children, she solicits his expertise, despite his skepticism over being chosen."
¡Three Amigos!,"Western, Comedy","western band, confusion, usa–mexico border, hero, spoof, mexico, western hero, village",A trio of unemployed silent film actors are mistaken for real heroes by a small Mexican village in search of someone to stop a malevolent bandit.
Platoon,"Drama, War, Action","american soldiers, murder witness, conscripts, ambush, platoon, gang rape, military draft, tour of duty, battle, mine, marijuana joint, violent man, violent death, vietnam war, dying and death, anti war, wounded soldier, combat, soldier, infantry, false accusations, casualty of war, army vs civilians, marijuana pipe, war crime, jungle, war crimes, bunker, village","As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man."
Little Shop of Horrors,"Horror, Comedy","motorcycle, blonde, inept assistant, puppetry, bum, aggression, assistant, laughing gas, success, dentist, plant, carnivorous plant, death, eclipse, creature, killer plant, plant food, homoeroticism, based on movie, based on play or musical, musical, florist, dying in arms, horror musical, nerd, crush, animated scene, man eating plant, solar eclipse, investigation, skid row, bloodthirstiness, remake","Seymour Krelborn is a nerdy orphan working at Mushnik's, a flower shop in urban Skid Row. He harbors a crush on fellow co-worker Audrey Fulquard, and is berated by Mr. Mushnik daily. One day Seymour finds a very mysterious unidentified plant which he calls Audrey II. The plant seems to have a craving for blood and soon begins to sing for his supper."
No Mercy,"Crime, Thriller, Action","vigilante, new orleans, louisiana, revenge, neo-noir, murder",An unconventional undercover Chicago cop and his partner are recruited to commit the murder of a New Orleans criminal kingpin.
King Kong Lives,"Adventure, Fantasy, Action","sequel, king kong, heart transplant, artificial heart, pregnancy, military, giant ape, eaten by animal, giant animal, animal abuse, body torn apart, hunters","After falling from the Twin Towers, Kong lies in a coma for ten years. When his heart begins to fail, scientists engineer an artificial heart, and a giant female ape is captured to serve as a source for a blood transfusion. When Kong awakens following his heart transplant, he senses the nearby presence of the female ape and the two escape to wreak havoc together."
Native Son,Drama,"chicago, illinois, chauffeur, paranoia, accidental killing, racial tension, 1940s, based on novel or book","In 1940s Chicago, a young black man takes a job as a chauffeur to a white family, which takes a turn for the worse when he accidentally kills the teenage daughter of the couple and then tries to cover it up."
Wisdom,"Crime, Drama, Action","money, fbi, convict, farmer, debut, police, gun, chase, bank, robbery, murder","Unable to find work after a past felony, graduate John Wisdom and his girlfriend embark on a cross-country bank-robbing spree in order to aid American farmers."
Witchboard,"Thriller, Mystery, Horror","psychic power, possession, ouija, medium, ouija board, ax, evil spirit","Playing around with a Ouija board, a trio of friends succeeds in contacting the spirit of a young boy. Trouble begins when the evil spirit, Malfeitor, takes over one of their bodies."
The Bedroom Window,"Thriller, Drama","employer employee relationship, extramarital affair, strangler, crime witness, secret relationship, murder investigation, neo-noir, baltimore, usa","Baltimore, Maryland. Sylvia sees a girl being attacked from her lover Terry's bedroom window. The assailant flees and his victim is saved. But that same night another girl is found murdered."
Black Widow,Thriller,neo-noir,"Federal agent Alexandra Barnes believes that Catherine Petersen is a serial killer who marries rich men and then murders them for their money. But since Catherine is seemingly a master of disguise and has multiple identities, Alexandra can't prove anything with conventional detective work. With no other option, she goes undercover, pursuing the same man as Catherine, and hoping that Catherine will slip up and reveal her true identity."
From the Hip,"Drama, Comedy","courtroom drama, impotence, lawyer, uncover truth, trial lawyer, civil suit, attorney, apprentice lawyer, murder trial, guilty client, defense attorney, murder of a prostitute, college professor, attorney client privilege","Apprentice lawyer Robin Weathers turns a civil suit into a headline grabbing charade. He must reexamine his scruples after his shenanigans win him a promotion in his firm, and he must now defend a college professor who is appearantly guilty of murder."
Mannequin,"Romance, Fantasy, Comedy","new love, puppet, mannequin come to life, romantic comedy, mannequin, transformation, window dresser, department store","Jonathan Switcher, an unemployed artist, finds a job as an assistant window dresser for a department store. When Jonathan happens upon a beautiful mannequin he previously designed, she springs to life and introduces herself as Emmy, an Egyptian under an ancient spell. Despite interference from the store's devious manager, Jonathan and his mannequin fall in love while creating eye-catching window displays to keep the struggling store in business."
Over the Top,"Drama, Action","road trip, arm wrestling, truck driver, sports, bad father-in-law","Sylvester Stallone stars as hard-luck big-rig trucker Lincoln Hawk and takes us under the glaring Las Vegas lights for all the boisterous action of the World Armwrestling Championship.  Relying on wits and willpower, Hawk tries to rebuild his life by capturing the first-place prize money, and the love of the son he abandoned years earlier into the keeping of his rich, ruthless father-in-law."
The Fourth Protocol,"Thriller, Action","agent, secret agent, cold war, russian spy, british spy, female spy","Led by Kim Philby, Plan Aurora is a plan that breaches the top-secret Fourth Protocol and turns the fears that shaped it into a living nightmare. A crack Soviet agent, placed under cover in a quiet English country town, begins to assemble a nuclear bomb, whilst an MI5 agent attempts to prevent it's detonation."
A Nightmare on Elm Street 3: Dream Warriors,"Thriller, Horror","sequel, catholicism, alcoholic, psychotherapist, supernatural horror, sadism, psychopath, sleepwalking, supernatural, nightmare becomes reality, group therapy, slasher, dream, ohio, disfigurement, mental hospital, nightmare, dream sequence, hypnosis, trapped, mental illness, murder","It's been many years since Freddy Krueger's first victim, Nancy, came face-to-face with Freddy and his sadistic, evil ways. Now, Nancy's all grown up; she's put her frightening nightmares behind her and is helping teens cope with their dreams. Too bad Freddy's decided to herald his return by invading the kids' dreams and scaring them into committing suicide."
The Barbarians,"Adventure, Fantasy, Action","jewel, sword and sorcery, dragon, twins, barbarian",Orphaned brothers Kutchek and Gore are adopted by a tribe led by Canary the owner of a powerful jewel. The evil Kadar wants both Canary and the jewel. Attacking the tribe he kidnaps Canary but the stone eludes him. The brothers are taken to be trained as gladiators and years later have grown to be VERY big. They escape and set off on a quest to find the jewel and rescue Canary.
Raising Arizona,"Crime, Comedy","pregnancy, supermarket, arizona, family relationships, baby, satire, robbery","When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated."
Angel Heart,"Mystery, Horror","drug addiction, flashback, incest, surrealism, sanatorium, southern usa, new orleans, louisiana, detective, amnesia, demon, church, vision, devil worship, heart, fan, investigation, neurosis, missing person, voodoo, drugs, murder, new york city","New York private detective Harry Angel is hired by the mysterious Louis Cyphre to find a missing person. His routine failure soon leads to a bloody spar with himself, as he goes on a supernatural journey into his own soul."
Lethal Weapon,"Crime, Thriller, Adventure, Comedy, Action","wisecrack humor, maverick cop, christmas, action hero, death of wife, homicide detective, police detective, ex soldier, police, buddy cop, lapd, mixed martial arts, self-destruction, showdown, los angeles, california","Veteran buttoned-down LAPD detective Roger Murtaugh is partnered with unhinged cop Martin Riggs, who -- distraught after his wife's death -- has a death wish and takes unnecessary risks with criminals at every turn. The odd couple embark on their first homicide investigation as partners, involving a young woman known to Murtaugh with ties to a drug and prostitution ring."
Evil Dead II,"Fantasy, Horror, Comedy","bewildered, eyeball, spirit, deer, tarmac, excited, necronomicon, tape recorder, book of the dead, psychotronic, meat cleaver, shocking, blood splatter, chainsaw, evil dead, over the top",Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from The Book of the Dead. As they play the recording an evil power is unleashed taking over Linda's body.
Blind Date,"Romance, Comedy","alcoholic, new love, lawyer, businessman, manager, sibling relationship, wrongful arrest, blind date, yuppie, judge, expensive restaurant, bachelor, california","When bachelor Walter Davis is set up with his sister-in-law's pretty cousin, Nadia Gates, a seemingly average blind date turns into a chaotic night on the town. Walter's brother, Ted, tells him not to let Nadia drink alcohol, but he dismisses the warning and her behaviour gets increasingly wild. Walter and Nadia's numerous incidents are made even worse as her former lover David relentlessly follows them around town."
Police Academy 4: Citizens on Patrol,"Crime, Comedy","police headquarter, handcuffs, police everyday life, police chief, police operation","A new batch of recruits arrives at Police Academy, this time a group of civilian volunteers who have joined Commandant Lassard's new Citizens on Patrol program. Although the community relations project has strong governmental support, a disgusted Captain Harris is determined to see it fail."
"Silent Night, Deadly Night Part 2","Horror, Comedy","sequel, santa claus, christmas, decapitation, axe murder, holiday, serial killer, killer santa claus, murder","After being traumatized by his brother Billy's murderous rampage years earlier, Ricky Caldwell has become a serial killer himself and is now living in a mental hospital. Relating his story to a psychiatrist, Ricky recounts the details of their murder sprees and vows to avenge his brother's death."
The Secret of My Success,Comedy,"college, success, mistake in person, dual identity, wealth","Brantley Foster, a well-educated kid from Kansas, has always dreamed of making it big in New York, but once in New York, he learns that jobs - and girls - are hard to get. When Brantley visits his uncle, Howard Prescott, who runs a multi-million-dollar company, he is given a job in the company's mail room."
Project X,"Drama, Comedy","chimp, chimpanzee, secret military program, sign languages","A young inductee into the military is given the task of looking after some chimpanzees used in the mysterious 'Project X'. Getting to know the chimps fairly well, he begins to suspect there is more to the secret project than he is being told."
The Gate,"Fantasy, Horror","occult, geode, record album, canuxploitation, hand, eye gouging, babysitter, sibling, eye, stop motion, moth, backyard, demon, dawn, dead dog, legend, mud mask","Three young children accidentally release a horde of nasty, pint-sized demons from a hole in a suburban backyard. What follows is a classic battle between good and evil as the three kids struggle to overcome a nightmarish hell that is literally taking over the Earth."
Creepshow 2,"Horror, Comedy","gore, hit-and-run, anthology, zombie, lake, revenge, blob, hitchhiker, murder, based on novel or book","EC Comics-inspired weirdness returns with three tales. In the first, a wooden statue of a Native American comes to life to exact vengeance on the murderer of his elderly owners. In the second, four teens are stranded on a raft on a lake with a blob that is hungry. And in the third, a hit and run woman is terrorized by the hitchhiker she accidentally killed... or did she?"
House II: The Second Story,"Fantasy, Horror, Comedy",house,"Jesse has returned to this old family mansion after his parents were murdered when he was a baby. While going through old things in the basement, Jesse finds a picture of his great-great grandfather in front of a Mayan temple holding a crystal skull with jewels in the eyes. In the background is a man Jesse learns is Slim Razor, a former partner of his great-great grandfather turned bitter enemy after a disagreement over who would get to keep the skull."
Ishtar,"Adventure, Comedy","singer-songwriter, morocco, singer, camel, fictional city, escape, wilderness, sahara desert, adventure comedy, beautiful woman, woman director","Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime."
Beverly Hills Cop II,"Crime, Comedy, Action","sequel, intensive care, robbery gang, strip club, gunfight, detroit, beverly hills, arms smuggling, police, detective, michigan, ferrari, buddy cop, credit card fraud, shooting range, undercover, playboy mansion, investigation, armored car, los angeles, shootout, superdetective, horse track, california","Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on."
The Untouchables,"Crime, Thriller, Drama, History","tough cop, chicago, treasury agent, tax evasion, jury tampering, untouchable, 1930s, illinois, white suit, gangster, prohibition era, baseball bat","Young Treasury Agent Eliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jim Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war."
Death Wish 4: The Crackdown,"Crime, Drama, Action","vigilante, action hero, one against many, anti hero, revenge, police, hospital, gangster, vigilante justice, one man army","After the death of his girlfriend's daughter from a drug overdose, Paul Kersey takes on the local drug cartel."
Predator,"Thriller, Adventure, Science Fiction, Action","survival, creature, trap, central and south america, invisible, violence, predator, alien, commando, alien invasion, stalking, guerrilla warfare",A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.
The Witches of Eastwick,"Fantasy, Comedy","rhode island, cherry, witch, voodoo doll, new england, based on novel or book",Three single women in a picturesque Rhode Island village have their wishes granted - at a cost - when a mysterious and flamboyant man arrives in their lives.
Roxanne,"Romance, Comedy","fire chief, love letter, pacific northwest, based on play or musical, rivalry, falling in love, astronomer, nose, friends to lovers, firefighter, inferiority complex, rocket scientist, colleague","Based on the play 'Cyrano de Bergerac', large-nosed C.D. Bales falls for the beautiful Roxanne—while she falls for his personality but another man's looks."
Dragnet,"Crime, Comedy, Action","reverend, yugo, orange county, molotow cocktail, buddy cop, health food, ice sculpture, homage, female police commissioner, speech impediment, california","LAPD Sgt. Joe Friday -- the equally straight-laced nephew of the famous police sergeant of the same name -- is paired up with a young, freewheeling detective named Pep Streebeck. After investigating some strange robberies at the local zoo and the theft of a stockpile of pornographic magazines, they uncover cult activity in the heart of the city and are hot on the case to figure out who's behind it all."
Spaceballs,"Science Fiction, Comedy","space mission, android, password, parody, magnet beam, space battle, plastic surgery, swordplay, laser gun, galaxy, speed of light, altar, temple, satire, space travel, spoof, space marine","When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of The Schwartz. Can he master it in time to save the day?"
Full Metal Jacket,"Drama, War","suicide, propaganda, sergeant, prostitute, platoon, war photographer, helicopter, rescue, journalism, recruit, mass grave, military, obstacle course, boot camp, vietnam war, anti war, sniper, fighting, discipline, war correspondent, combat, vietnam, infantry, racism, genocide, blanket party, u.s. marine, jungle, based on novel or book",A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
The Living Daylights,"Thriller, Adventure, Action","secret identity, vienna, special car, austria, arms deal, falsely accused, prison, orchestra, moscow, tangier morocco, schloss schönbrunn, big wheel, london, airplane, secret mission, arms smuggling, assassination, escape, cello, renegade, villain, spy, slovakia, czechoslovakia, russia, country estate, freedom fighter, bratislava, afghanistan, england, kgb, drug trafficking, secret intelligence service","After a defecting Russian general reveals a plot to assassinate foreign spies, James Bond is assigned a secret mission to dispatch the new head of the KGB to prevent an escalation of tensions between the Soviet Union and the West."
Innerspace,"Science Fiction, Comedy, Action","test pilot, shrinking, experiment, san francisco, california","Test pilot Tuck Pendleton volunteers to test a special vessel for a miniaturization experiment. Accidentally injected into a neurotic hypochondriac, Jack Putter, Tuck must convince Jack to find his ex-girlfriend, Lydia Maxwell, to help him extract Tuck and his ship and re-enlarge them before his oxygen runs out."
Adventures in Babysitting,Comedy,"criminal gang, unfaithful boyfriend, babysitter, suburbanite, frat party, misadventure, aftercreditsstinger, one night, norse mythology, car theft, homeless man, chop shop, held hostage","When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more."
Mio in the Land of Faraway,"Adventure, Drama, Family, Fantasy, Mystery","prince, knight, orphan, friendship","They're two best friends, a million miles from home. On an incredible adventure, beyond the boundaries of space and time. A fantasy about a lonely boy who is transferred from his dull life with his adoptive parents to the land where his real father is the king."
Jaws: The Revenge,"Thriller, Adventure, Horror","sequel, animal attack, banana boat, creature, dying and death, shark, revenge, bahamas, caribbean sea, great white shark, shark attack, underwater","After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives."
RoboCop,"Thriller, Science Fiction, Action","law enforcement, gentrification, detroit, dystopia, giant robot, corrupt system, michigan, cyborg, cyberpunk, crime fighter, experiment, megacorporation, evil corporation","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters."
Superman IV: The Quest for Peace,"Adventure, Science Fiction, Action","sequel, catholic school, mountain, volcanic eruption, nuclear missile, super power, alter ego, laboratory, superhuman strength, convertible, newspaper editor, great wall of china, superhero, saving the world, disarmament, us army, nuclear weapons","With global superpowers engaged in an increasingly hostile arms race, Superman leads a crusade to rid the world of nuclear weapons. But Lex Luthor, recently sprung from jail, is declaring war on the Man of Steel and his quest to save the planet. Using a strand of Superman's hair, Luthor synthesizes a powerful ally known as Nuclear Man and ignites an epic battle spanning Earth and space."
The Lost Boys,"Thriller, Horror, Comedy","boardwalk, 1980s, amusement park, blood sucking, vampires, small town, seaside town, vampire, brother brother relationship, beach town, single, parent child relationship, street gang, gay interest, pets, gay subtext, murder, california",A mother and her two teenage sons move to a seemingly nice and quiet small coastal California town yet soon find out that it's overrun by bike gangs and vampires. A couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town.
Stakeout,"Romance, Comedy, Action","killer, prisoner on the run, prison, logging, prison escape, police detective, seattle, police chase, police stakeout, washington, police, buddy cop, voyeurism, shower, stakeout, killing, murder","Two cops are given the 'dirty' job of staking out the home of an escaped convict's ex-girlfriend. Chris and the beautiful girlfriend accidentally meet and fall in love. Just as Chris confesses, the convict appears, but will she betray him ?"
Nadine,"Romance, Comedy, Action","on the run, texas, murder","Hairdresser Nadine Hightower wants to retrieve the risqué photos she once posed for, but when she visits the photographer at his office, he's murdered by an intruder. Nadine talks her estranged husband, Vernon, into going along when she returns to the office, where they stumble across plans for a less than legal construction project. But when Vernon tries to turn the documents into a cash windfall, he and Nadine are pursued by goons with guns."
Masters of the Universe,"Thriller, Adventure, Fantasy, Science Fiction, Action","super power, sword and planet, sword and sorcery, wretch, aftercreditsstinger, time travel, saving the world, skeleton, hero, key","The world of Eternia in the aftermath of Skeletor's war on Castle Grayskull, which he has won after seizing Grayskull and the surrounding city using a cosmic key developed by the locksmith Gwildor. The Sorceress is now Skeletor's prisoner and he begins to drain her life-force as he waits for the moon of Eternia to align with the Great Eye of the Universe that will bestow god-like power upon him."
Who's That Girl,"Romance, Comedy","mountain lion, lawyer, falsely accused, lighthearted, screwball comedy, new york city","An uptight New York tax lawyer gets his life turned upside down, all in a single day, when he's asked to escort a feisty and free-spirited female ex-convict whom asks him to help prove her innocence of her crime."
No Way Out,Thriller,"minister, limousine, pentagon, homicide, secretary of defense, u.s. navy, remake","Navy Lt. Tom Farrell meets a young woman, Susan Atwell , and they share a passionate fling. Farrell then finds out that his superior, Defense Secretary David Brice, is also romantically involved with Atwell. When the young woman turns up dead, Farrell is put in charge of the murder investigation. He begins to uncover shocking clues about the case, but when details of his encounter with Susan surface, he becomes a suspect as well."
Can't Buy Me Love,"Romance, Drama, Comedy","cheerleader, new year's eve, coming of age, teen comedy, teen drama, high school, nerd, break-up","Nerdy high schooler Ronald Miller rescues cheerleader Cindy Mancini from parental punishment after she accidentally destroys her mother's designer clothes. Ronald agrees to pay for the $1,000 outfit on one condition: that she will act as though they're a couple for an entire month. As the days pass, however, Cindy grows fond of Ronald, making him popular. But when Ronald's former best friend gets left behind, he realizes that social success isn't everything."
The Monster Squad,"Fantasy, Comedy, Action","sea monster, mummy, dracula, wolfman","Count Dracula adjourns to Earth, accompanied by Frankenstein's Monster, the Wolfman, the Mummy, and the Gillman. The uglies are in search of a powerful amulet that will grant them power to rule the world. Our heroes - the Monster Squad are the only ones daring to stand in their way."
Dirty Dancing,"Romance, Drama, Music","daughter, teenage girl, mambo, hotel, dancing master, family holiday, catskill resort, sibling relationship, sensuality, coming of age, class differences, dancing, dance performance, teenage crush, secret love, robbery, doctor, summer camp, summer romance","Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love."
Maurice,"Romance, Drama","conversion therapy, coming out, independent film, forbidden love, homophobia, gay theme, cambridge university, lgbt, coming of age, 1900s, friends in love, in the closet, england, secret love, based on novel or book","After his lover rejects him, a young man in early 20th century England, trapped by the oppressiveness of Edwardian society, tries to come to terms with and accept his sexuality."
The Garbage Pail Kids Movie,"Adventure, Family, Science Fiction, Comedy","monster, garbage, musical, friendship",Seven disgusting kids but nevertheless of interesting personality are being made of the green mud coming out of garbage can. Once alive their master gives them rules to obey although they think that life is funnier without following stupid regulations like no television or no candy. Naturally this will cause some conflicts.
Rampage,"Crime, Thriller, Drama","courtroom, capital punishment, insanity","Liberal district attorney decides to seek the death penalty for a man who slaughtered a family at Christmastime, then drank their blood. He escapes, though, and starts killing again."
Barfly,"Romance, Drama, Comedy","brawlers, prostitute, street fight, alcohol abuse, money, poet, barfly, fight, brawler, boyfriend girlfriend relationship, career, alcoholism, unemployed, los angeles, bartender, paramedic, barflies, california","Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But, they like each other's company—and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids."
The Outing,Horror,"genie, djinn, museum, demonic possession, school trip, dismemberment, ancient, security guard, oil lamp, murder","An ancient genie is released from a lamp when thieves ransack an old woman's house. They are killed and the lamp is moved to a museum to be studied. The curator's daughter is soon possessed by the genie and invites her friends to spend the night at the museum, along with some uninvited guests..."
Five Corners,"Crime, Thriller, Drama","bronx, prison, love, rape, theft, alcohol, new york city","A psychotic young man returns to his old neighborhood after release from prison. He seeks out the woman he previously tried to rape and the man who protected her, with twisted ideas of love for her and hate for him."
